id,cluster
1,3
2,3
3,3
4,3
5,1
6,1
7,3
8,3
9,4
10,1
11,3
12,3
13,1
14,1
15,3
16,1
17,3
18,3
19,3
20,1
21,1
22,1
23,3
24,3
25,3
26,3
27,3
28,1
29,3
30,3
31,1
32,1
33,3
34,3
35,1
36,1
37,3
38,1
39,3
40,3
41,3
42,3
43,3
44,1
45,3
46,3
47,3
48,1
49,1
50,3
51,3
52,3
53,3
54,3
55,1
56,1
57,1
58,3
59,1
60,1
61,1
62,3
63,3
64,3
65,3
66,3
67,1
68,3
69,3
70,1
71,1
72,1
73,1
74,3
75,3
76,3
77,3
78,3
79,3
80,1
81,3
82,3
83,1
84,1
85,3
86,1
87,3
88,1
89,3
90,3
91,3
92,3
93,3
94,1
95,3
96,3
97,3
98,3
99,1
100,3
101,3
102,3
103,3
104,3
105,1
106,3
107,1
108,3
109,1
110,3
111,4
112,3
113,1
114,3
115,3
116,3
117,1
118,3
119,3
120,3
121,3
122,1
123,3
124,3
125,1
126,3
127,1
128,3
129,1
130,1
131,3
132,1
133,3
134,1
135,3
136,1
137,3
138,3
139,3
140,3
141,3
142,1
143,1
144,3
145,3
146,3
147,3
148,3
149,3
150,1
151,3
152,1
153,3
154,1
155,1
156,3
157,3
158,3
159,1
160,1
161,3
162,3
163,3
164,4
165,4
166,4
167,3
168,1
169,1
170,3
171,3
172,1
173,1
174,1
175,1
176,1
177,3
178,1
179,3
180,3
181,3
182,1
183,1
184,3
185,3
186,3
187,3
188,1
189,3
190,3
191,3
192,1
193,1
194,3
195,1
196,1
197,3
198,1
199,3
200,1
201,1
202,1
203,3
204,1
205,3
206,3
207,3
208,3
209,1
210,3
211,1
212,3
213,3
214,3
215,1
216,3
217,1
218,3
219,3
220,3
221,3
222,1
223,1
224,1
225,1
226,3
227,1
228,3
229,1
230,1
231,1
232,1
233,1
234,3
235,3
236,3
237,1
238,1
239,1
240,3
241,3
242,3
243,3
244,1
245,1
246,3
247,3
248,3
249,1
250,1
251,3
252,1
253,3
254,3
255,3
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,3
265,3
266,1
267,1
268,3
269,3
270,3
271,3
272,3
273,1
274,1
275,1
276,2
277,3
278,3
279,3
280,2
281,1
282,3
283,1
284,1
285,1
286,3
287,3
288,3
289,3
290,3
291,3
292,3
293,3
294,3
295,3
296,3
297,3
298,3
299,3
300,3
301,3
302,1
303,3
304,3
305,3
306,3
307,3
308,3
309,3
310,3
311,3
312,1
313,3
314,3
315,3
316,3
317,3
318,1
319,1
320,1
321,3
322,3
323,3
324,3
325,1
326,3
327,1
328,3
329,1
330,1
331,1
332,3
333,3
334,3
335,3
336,3
337,3
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,3
347,3
348,3
349,3
350,3
351,1
352,3
353,3
354,3
355,3
356,3
357,1
358,3
359,3
360,3
361,2
362,2
363,3
364,1
365,3
366,1
367,1
368,3
369,3
370,3
371,1
372,1
373,1
374,3
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,3
388,1
389,1
390,1
391,1
392,1
393,3
394,3
395,3
396,3
397,3
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,3
408,2
409,3
410,1
411,1
412,1
413,3
414,3
415,3
416,1
417,3
418,3
419,3
420,1
421,1
422,3
423,3
424,3
425,3
426,1
427,1
428,1
429,1
430,1
431,1
432,3
433,1
434,1
435,1
436,3
437,3
438,3
439,1
440,1
441,1
442,3
443,3
444,1
445,1
446,3
447,1
448,3
449,3
450,3
451,3
452,3
453,3
454,3
455,3
456,3
457,3
458,3
459,3
460,3
461,3
462,3
463,3
464,3
465,3
466,1
467,1
468,3
469,3
470,3
471,3
472,3
473,3
474,3
475,4
476,1
477,4
478,4
479,1
480,3
481,3
482,3
483,3
484,3
485,1
486,3
487,3
488,3
489,3
490,1
491,1
492,3
493,3
494,1
495,1
496,3
497,3
498,3
499,4
500,3
501,3
502,3
503,4
504,4
505,4
506,3
507,3
508,1
509,3
510,3
511,3
512,3
513,3
514,1
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,3
524,1
525,3
526,1
527,1
528,3
529,3
530,3
531,1
532,3
533,3
534,3
535,3
536,3
537,3
538,3
539,3
540,3
541,3
542,3
543,3
544,3
545,3
546,3
547,3
548,3
549,3
550,4
551,3
552,3
553,3
554,3
555,3
556,3
557,3
558,3
559,1
560,1
561,3
562,3
563,3
564,3
565,3
566,3
567,3
568,1
569,3
570,3
571,3
572,3
573,3
574,1
575,3
576,3
577,3
578,3
579,3
580,3
581,1
582,1
583,3
584,3
585,3
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,1
594,3
595,1
596,3
597,3
598,3
599,3
600,1
601,1
602,1
603,1
604,1
605,1
606,3
607,1
608,1
609,1
610,1
611,1
612,3
613,3
614,1
615,1
