id,cluster
1,17
2,17
3,14
4,17
5,14
6,17
7,14
8,17
9,14
10,17
11,17
12,14
13,14
14,17
15,14
16,14
17,17
18,14
19,14
20,14
21,14
22,17
23,17
24,14
25,17
26,17
27,17
28,14
29,14
30,17
31,17
32,17
33,14
34,14
35,14
36,14
37,17
38,14
39,17
40,17
41,17
42,14
43,14
44,14
45,14
46,17
47,14
48,14
49,17
50,14
51,17
52,14
53,14
54,17
55,17
56,17
57,17
58,17
59,14
60,17
61,17
62,14
63,17
64,17
65,14
66,17
67,17
68,17
69,14
70,17
71,14
72,14
73,17
74,17
75,14
76,17
77,14
78,14
79,14
80,17
81,17
82,14
83,17
84,14
85,17
86,17
87,14
88,17
89,17
90,14
91,14
92,14
93,17
94,14
95,17
96,14
97,17
98,14
99,17
100,14
101,17
102,17
103,14
104,17
105,17
106,17
107,17
108,1
109,17
110,17
111,14
112,14
113,14
114,17
115,14
116,14
117,14
118,14
119,17
120,17
121,14
122,17
123,17
124,17
125,14
126,14
127,17
128,17
129,17
130,17
131,17
132,14
133,17
134,17
135,17
136,17
137,15
138,14
139,14
140,17
141,14
142,17
143,17
144,14
145,14
146,14
147,17
148,14
149,17
150,14
151,17
152,14
153,14
154,14
155,14
156,14
157,17
158,14
159,17
160,17
161,14
162,17
163,14
164,14
165,14
166,17
167,14
168,14
169,17
170,17
171,17
172,14
173,17
174,14
175,14
176,14
177,17
178,14
179,17
180,14
181,17
182,14
183,14
184,14
185,17
186,17
187,17
188,17
189,17
190,14
191,14
192,14
193,14
194,14
195,17
196,14
197,17
198,17
199,3
200,17
201,17
202,14
203,14
204,17
205,17
206,14
207,14
208,14
209,17
210,14
211,14
212,17
213,17
214,17
215,14
216,14
217,14
218,14
219,14
220,14
221,14
222,17
223,17
224,17
225,17
226,14
227,14
228,14
229,14
230,14
231,14
232,17
233,17
234,14
235,14
236,14
237,17
238,14
239,17
240,17
241,14
242,14
243,17
244,14
245,14
246,14
247,17
248,14
249,17
250,17
251,14
252,17
253,17
254,14
255,17
256,14
257,14
258,17
259,17
260,14
261,17
262,17
263,14
264,14
265,14
266,17
267,17
268,14
269,17
270,14
271,14
272,17
273,17
274,14
275,17
276,14
277,17
278,17
279,14
280,14
281,17
282,17
283,14
284,14
285,17
286,17
287,14
288,14
289,14
290,14
291,17
292,17
293,14
294,14
295,14
296,17
297,14
298,17
299,17
300,17
301,17
302,14
303,17
304,17
305,17
306,14
307,14
308,14
309,17
310,17
311,14
312,17
313,14
314,17
315,17
316,17
317,14
318,17
319,17
320,14
321,17
322,14
323,17
324,17
325,17
326,17
327,14
328,14
329,14
330,17
331,17
332,17
333,17
