id,cluster
1,7
2,9
3,12
4,2
5,12
6,9
7,1
8,1
9,2
10,12
11,5
12,10
13,9
14,10
15,9
16,2
17,3
18,10
19,8
20,3
21,1
22,1
23,2
24,5
25,7
26,10
27,3
28,5
29,8
30,8
31,10
32,9
33,7
34,10
35,8
36,4
37,7
38,10
39,9
40,12
41,2
42,10
43,10
44,6
45,7
46,11
47,9
48,6
49,11
50,5
51,1
52,12
53,11
54,10
55,8
56,3
57,6
58,4
59,4
60,9
61,10
62,3
63,4
64,9
65,3
66,6
67,11
68,1
69,5
70,3
71,10
72,12
73,11
74,12
75,6
76,3
77,1
78,1
79,8
80,8
81,12
82,8
83,11
84,12
85,10
86,6
87,3
88,11
89,7
90,5
91,6
92,6
93,2
94,8
95,3
96,3
97,4
98,12
99,10
100,9
101,8
102,12
103,7
104,2
105,7
106,9
107,12
108,1
109,7
110,11
111,1
112,6
113,3
114,11
115,2
