id,cluster
1,1
2,2
3,4
4,5
5,4
6,2
7,5
8,5
9,5
10,4
11,6
12,7
13,2
14,7
15,2
16,5
17,8
18,7
19,9
20,8
21,5
22,5
23,5
24,6
25,1
26,7
27,8
28,6
29,9
30,9
31,7
32,2
33,1
34,7
35,9
36,7
37,1
38,7
39,2
40,4
41,5
42,7
43,7
44,10
45,1
46,11
47,2
48,10
49,11
50,6
51,5
52,4
53,11
54,7
55,9
56,8
57,10
58,12
59,8
60,2
61,7
62,8
63,8
64,2
65,8
66,10
67,11
68,5
69,6
70,8
71,7
72,4
73,11
74,4
75,10
76,8
77,5
78,5
79,9
80,9
81,4
82,3
83,11
84,4
85,7
86,10
87,8
88,11
89,1
90,6
91,10
92,10
93,5
94,9
95,8
96,8
97,8
98,4
99,7
100,2
101,9
102,4
103,1
104,5
105,1
106,2
107,4
108,5
109,1
110,11
111,5
112,10
113,8
114,11
115,5
