id,cluster
1,6
2,1
3,7
4,10
5,2
6,1
7,8
8,8
9,10
10,7
11,12
12,5
13,1
14,5
15,1
16,10
17,3
18,5
19,11
20,3
21,8
22,8
23,10
24,12
25,6
26,5
27,3
28,12
29,11
30,11
31,5
32,1
33,6
34,5
35,11
36,5
37,6
38,5
39,1
40,2
41,10
42,5
43,5
44,9
45,6
46,4
47,1
48,9
49,4
50,12
51,8
52,7
53,4
54,5
55,11
56,3
57,9
58,2
59,3
60,1
61,5
62,3
63,3
64,1
65,3
66,9
67,4
68,8
69,12
70,3
71,5
72,7
73,4
74,7
75,9
76,3
77,8
78,8
79,11
80,11
81,7
82,11
83,4
84,2
85,5
86,9
87,3
88,4
89,6
90,12
91,9
92,9
93,10
94,11
95,3
96,3
97,9
98,7
99,5
100,1
101,11
102,2
103,6
104,10
105,6
106,1
107,7
108,8
109,6
110,4
111,8
112,9
113,3
114,4
115,10
