id,cluster
1,6
2,11
3,1
4,7
5,1
6,11
7,4
8,4
9,7
10,1
11,10
12,2
13,11
14,2
15,11
16,7
17,8
18,2
19,9
20,8
21,4
22,4
23,7
24,10
25,6
26,2
27,8
28,10
29,9
30,9
31,2
32,11
33,6
34,2
35,9
36,12
37,6
38,2
39,11
40,1
41,7
42,2
43,2
44,5
45,6
46,3
47,11
48,5
49,3
50,10
51,4
52,1
53,3
54,2
55,9
56,8
57,5
58,12
59,12
60,11
61,2
62,8
63,12
64,11
65,8
66,5
67,3
68,4
69,10
70,8
71,2
72,1
73,3
74,1
75,5
76,8
77,4
78,4
79,9
80,9
81,1
82,9
83,3
84,1
85,2
86,5
87,8
88,3
89,6
90,10
91,5
92,5
93,7
94,9
95,8
96,8
97,12
98,1
99,2
100,11
101,9
102,1
103,6
104,7
105,6
106,11
107,1
108,4
109,6
110,3
111,4
112,5
113,8
114,3
115,7
