Source,Target
3,1
5,1
6,1
105,1
4,2
5,2
7,2
105,2
1,3
5,3
8,3
9,3
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
27,3
105,3
2,4
5,4
6,4
28,4
29,4
30,4
31,4
105,4
1,5
2,5
3,5
4,5
6,5
7,5
105,5
1,6
4,6
5,6
7,6
10,6
12,6
18,6
22,6
25,6
29,6
105,6
2,7
5,7
6,7
14,7
30,7
58,7
71,7
85,7
3,8
9,8
10,8
11,8
12,8
13,8
14,8
20,8
21,8
22,8
23,8
24,8
26,8
27,8
32,8
33,8
35,8
37,8
40,8
41,8
42,8
43,8
44,8
45,8
46,8
3,9
8,9
11,9
12,9
14,9
20,9
24,9
27,9
41,9
45,9
47,9
48,9
49,9
50,9
51,9
52,9
3,10
6,10
8,10
11,10
12,10
15,10
16,10
19,10
21,10
33,10
35,10
37,10
38,10
39,10
55,10
3,11
8,11
9,11
10,11
12,11
13,11
14,11
17,11
20,11
21,11
22,11
26,11
27,11
29,11
45,11
47,11
50,11
56,11
3,12
6,12
8,12
9,12
10,12
11,12
13,12
14,12
15,12
17,12
18,12
23,12
24,12
32,12
33,12
36,12
38,12
39,12
40,12
41,12
44,12
46,12
47,12
54,12
55,12
3,13
8,13
11,13
12,13
17,13
29,13
32,13
40,13
42,13
43,13
44,13
47,13
57,13
3,14
7,14
8,14
9,14
11,14
12,14
25,14
26,14
58,14
3,15
10,15
12,15
16,15
55,15
3,16
10,16
15,16
3,17
11,17
12,17
13,17
47,17
3,18
6,18
12,18
3,19
10,19
55,19
56,19
77,19
3,20
8,20
9,20
11,20
24,20
40,20
48,20
49,20
53,20
57,20
3,21
8,21
10,21
11,21
23,21
3,22
6,22
8,22
11,22
25,22
40,22
52,22
3,23
8,23
12,23
21,23
27,23
32,23
33,23
47,23
54,23
3,24
8,24
9,24
12,24
20,24
26,24
40,24
47,24
53,24
3,25
6,25
14,25
22,25
40,25
3,26
8,26
11,26
14,26
24,26
40,26
45,26
47,26
53,26
3,27
8,27
9,27
11,27
23,27
40,27
41,27
47,27
54,27
4,28
66,28
72,28
4,29
6,29
11,29
13,29
4,30
7,30
31,30
58,30
66,30
67,30
70,30
73,30
