id,cluster
1,3
2,3
3,2
4,3
5,3
6,3
7,3
8,2
9,2
10,2
11,2
12,2
13,2
14,3
15,2
16,3
17,2
18,3
19,3
20,2
21,2
22,2
23,2
24,2
25,3
26,2
27,2
28,3
29,3
30,1
31,1
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,3
49,1
50,3
51,3
52,3
53,2
54,2
55,2
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,3
82,1
83,1
84,3
85,3
86,3
87,1
88,3
89,3
90,3
91,1
92,1
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
